Entry	Entry name	Protein names	Gene names	Gene names  (synonym )	Gene names  (primary )	Mass	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Subcellular location [CC]	Tissue specificity
P0A756	KEFG_ECOLI	Glutathione-regulated potassium-efflux system ancillary protein KefG (Putative quinone oxidoreductase KefG) (EC 1.6.5.2)	kefG yheR b3351 JW3314	yheR	kefG	20,958	positive regulation of ion transmembrane transporter activity [GO:0032414]; positive regulation of potassium ion transmembrane transport [GO:1901381]; potassium ion transport [GO:0006813]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; NADH dehydrogenase (quinone) activity [GO:0050136]; NADPH dehydrogenase (quinone) activity [GO:0008753]; positive regulation of ion transmembrane transporter activity [GO:0032414]; positive regulation of potassium ion transmembrane transport [GO:1901381]; potassium ion transport [GO:0006813]	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; NADH dehydrogenase (quinone) activity [GO:0050136]; NADPH dehydrogenase (quinone) activity [GO:0008753]	GO:0003955; GO:0005886; GO:0006813; GO:0008753; GO:0009055; GO:0010181; GO:0032414; GO:0050136; GO:1901381	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01415}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01415}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_01415}.	
P15005	MCRB_ECOLI	5-methylcytosine-specific restriction enzyme B (EC 3.1.21.-) (EcoKMcrBC)	mcrB rglB b4346 JW5871	rglB	mcrB	53,157	DNA catabolic process [GO:0006308]; DNA restriction-modification system [GO:0009307]		ATP binding [GO:0005524]; ATPase activity [GO:0016887]; DNA binding [GO:0003677]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; restriction endodeoxyribonuclease activity [GO:0015666]; DNA catabolic process [GO:0006308]; DNA restriction-modification system [GO:0009307]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; restriction endodeoxyribonuclease activity [GO:0015666]	GO:0003677; GO:0003924; GO:0005524; GO:0005525; GO:0006308; GO:0009307; GO:0015666; GO:0016887; GO:0042802		
P22188	MURE_ECOLI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE b0085 JW0083		murE	53,344	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]	GO:0000287; GO:0005524; GO:0005829; GO:0007049; GO:0008360; GO:0008765; GO:0009252; GO:0051301; GO:0071555	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	
P0AEI6	NUDJ_ECOLI	Phosphatase NudJ (EC 3.6.1.-)	nudJ ymfB b1134 JW1120	ymfB	nudJ	17,433			4-amino-5-hydroxymethyl-2-methylpyrimidine diphosphatase activity [GO:0002145]; nucleoside-diphosphatase activity [GO:0017110]; nucleoside-triphosphatase activity [GO:0017111]; pyrophosphatase activity [GO:0016462]; thiamine-diphosphatase activity [GO:0004787]	4-amino-5-hydroxymethyl-2-methylpyrimidine diphosphatase activity [GO:0002145]; nucleoside-diphosphatase activity [GO:0017110]; nucleoside-triphosphatase activity [GO:0017111]; pyrophosphatase activity [GO:0016462]; thiamine-diphosphatase activity [GO:0004787]	GO:0002145; GO:0004787; GO:0016462; GO:0017110; GO:0017111		
P04391	OTC1_ECOLI	Ornithine carbamoyltransferase subunit I (OTCase-1) (EC 2.1.3.3)	argI b4254 JW4211		argI	36,907	arginine biosynthetic process via ornithine [GO:0042450]; citrulline biosynthetic process [GO:0019240]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; amino acid binding [GO:0016597]; metal ion binding [GO:0046872]; ornithine carbamoyltransferase activity [GO:0004585]; arginine biosynthetic process via ornithine [GO:0042450]; citrulline biosynthetic process [GO:0019240]	amino acid binding [GO:0016597]; metal ion binding [GO:0046872]; ornithine carbamoyltransferase activity [GO:0004585]	GO:0004585; GO:0005737; GO:0016597; GO:0019240; GO:0042450; GO:0046872	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	
P0A780	NUSB_ECOLI	Transcription antitermination protein NusB (Antitermination factor NusB) (N utilization substance protein B)	nusB groNB ssyB b0416 JW0406	groNB ssyB	nusB	15,689	DNA-templated transcription, termination [GO:0006353]; regulation of transcription, DNA-templated [GO:0006355]; ribosome biogenesis [GO:0042254]; transcription antitermination [GO:0031564]	cytosol [GO:0005829]	cytosol [GO:0005829]; RNA binding [GO:0003723]; DNA-templated transcription, termination [GO:0006353]; regulation of transcription, DNA-templated [GO:0006355]; ribosome biogenesis [GO:0042254]; transcription antitermination [GO:0031564]	RNA binding [GO:0003723]	GO:0003723; GO:0005829; GO:0006353; GO:0006355; GO:0031564; GO:0042254		
P69434	PGAA_ECOLI	Poly-beta-1,6-N-acetyl-D-glucosamine export protein (PGA export protein) (Poly-beta-1,6-GlcNAc export protein)	pgaA ycdS b1024 JW1010	ycdS	pgaA	92,207	polysaccharide transport [GO:0015774]	integral component of cell outer membrane [GO:0045203]	integral component of cell outer membrane [GO:0045203]; poly-beta-1,6-N-acetyl-D-glucosamine transmembrane transporter activity [GO:1901515]; polysaccharide transmembrane transporter activity [GO:0015159]; polysaccharide transport [GO:0015774]	poly-beta-1,6-N-acetyl-D-glucosamine transmembrane transporter activity [GO:1901515]; polysaccharide transmembrane transporter activity [GO:0015159]	GO:0015159; GO:0015774; GO:0045203; GO:1901515	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000305|PubMed:18359807}; Multi-pass membrane protein {ECO:0000305|PubMed:18359807}.	
P0ABR5	HCAE_ECOLI	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	hcaE digA hcaA hcaA1 phdC1 yfhU b2538 JW2522	digA hcaA hcaA1 phdC1 yfhU	hcaE	51,109	3-phenylpropionate catabolic process [GO:0019380]		2 iron, 2 sulfur cluster binding [GO:0051537]; 3-phenylpropionate dioxygenase activity [GO:0008695]; iron ion binding [GO:0005506]; 3-phenylpropionate catabolic process [GO:0019380]	2 iron, 2 sulfur cluster binding [GO:0051537]; 3-phenylpropionate dioxygenase activity [GO:0008695]; iron ion binding [GO:0005506]	GO:0005506; GO:0008695; GO:0019380; GO:0051537		
P0ACE7	HINT_ECOLI	Purine nucleoside phosphoramidase (EC 3.9.1.-) (Histidine triad nucleotide binding protein HinT) (HIT protein)	hinT ycfF b1103 JW1089	ycfF	hinT	13,241	D-alanine catabolic process [GO:0055130]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; adenosine 5'-monophosphoramidase activity [GO:0043530]; hydrolase activity [GO:0016787]; nucleotide binding [GO:0000166]; D-alanine catabolic process [GO:0055130]	adenosine 5'-monophosphoramidase activity [GO:0043530]; hydrolase activity [GO:0016787]; nucleotide binding [GO:0000166]	GO:0000166; GO:0005737; GO:0005829; GO:0016787; GO:0043530; GO:0055130		
P67910	HLDD_ECOLI	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	hldD htrM rfaD waaD b3619 JW3594	htrM rfaD waaD	hldD	34,893	ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]; lipopolysaccharide core region biosynthetic process [GO:0009244]	cytosol [GO:0005829]; membrane [GO:0016020]	cytosol [GO:0005829]; membrane [GO:0016020]; ADP-glyceromanno-heptose 6-epimerase activity [GO:0008712]; NADP+ binding [GO:0070401]; ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]; lipopolysaccharide core region biosynthetic process [GO:0009244]	ADP-glyceromanno-heptose 6-epimerase activity [GO:0008712]; NADP+ binding [GO:0070401]	GO:0005829; GO:0008712; GO:0009244; GO:0016020; GO:0070401; GO:0097171		
P77091	HOKE_ECOLI	Toxic protein HokE	hokE ybdY b4415 JW5084	ybdY	hokE	5,564	cellular response to DNA damage stimulus [GO:0006974]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cellular response to DNA damage stimulus [GO:0006974]		GO:0005886; GO:0006974; GO:0016021	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000250|UniProtKB:P0ACG4}; Single-pass membrane protein {ECO:0000250|UniProtKB:P0ACG4}.	
P75969	INTE_ECOLI	Prophage integrase IntE (Int(Lambda)) (Prophage e14 integrase) (Prophage lambda integrase)	intE ycfI b1140 JW1126	ycfI	intE	42,799	DNA recombination [GO:0006310]; establishment of integrated proviral latency [GO:0075713]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]		DNA binding [GO:0003677]; integrase activity [GO:0008907]; protein heterodimerization activity [GO:0046982]; DNA recombination [GO:0006310]; establishment of integrated proviral latency [GO:0075713]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]	DNA binding [GO:0003677]; integrase activity [GO:0008907]; protein heterodimerization activity [GO:0046982]	GO:0003677; GO:0006310; GO:0008907; GO:0044826; GO:0046718; GO:0046982; GO:0075713		
P0CF26	INSB2_ECOLI	Insertion element IS1 2 protein InsB (IS1b)	insB2 b0264 JW0256		insB2	19,758	transposition, DNA-mediated [GO:0006313]		DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	DNA binding [GO:0003677]; transposase activity [GO:0004803]	GO:0003677; GO:0004803; GO:0006313		
P0CF40	INSC1_ECOLI	Transposase InsC for insertion element IS2A	insC1 b0360 JW0351		insC1	13,452	transposition, DNA-mediated [GO:0006313]		DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	DNA binding [GO:0003677]; transposase activity [GO:0004803]	GO:0003677; GO:0004803; GO:0006313		
P0CF41	INSC2_ECOLI	Transposase InsC for insertion element IS2D	insC2 b1403 JW1400		insC2	13,452	transposition, DNA-mediated [GO:0006313]		DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	DNA binding [GO:0003677]; transposase activity [GO:0004803]	GO:0003677; GO:0004803; GO:0006313		
P0CF54	INSD2_ECOLI	Transposase InsD for insertion element IS2D	insD2 b1402 JW1397		insD2	34,398	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition [GO:0032196]		DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition [GO:0032196]	DNA binding [GO:0003677]	GO:0003677; GO:0006310; GO:0015074; GO:0032196		
P45464	LPOA_ECOLI	Penicillin-binding protein activator LpoA (PBP activator LpoA) (Lipoprotein activator of PBP from the outer membrane A)	lpoA yraM b3147 JW3116	yraM	lpoA	72,825	peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cell outer membrane [GO:0009279]; periplasmic side of cell outer membrane [GO:0031241]; periplasmic space [GO:0042597]	cell outer membrane [GO:0009279]; periplasmic side of cell outer membrane [GO:0031241]; periplasmic space [GO:0042597]; enzyme regulator activity [GO:0030234]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	enzyme regulator activity [GO:0030234]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	GO:0004553; GO:0008360; GO:0009252; GO:0009279; GO:0030234; GO:0031241; GO:0042597	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:21183073, ECO:0000269|PubMed:21183074}; Lipid-anchor {ECO:0000269|PubMed:21183073, ECO:0000269|PubMed:21183074}; Periplasmic side {ECO:0000269|PubMed:21183073, ECO:0000269|PubMed:21183074}. Note=Localizes at the sidewall of elongating cells.	
P76594	LYSAC_ECOLI	Peptidyl-lysine N-acetyltransferase PatZ (EC 2.3.1.-) (Protein lysine acetyltransferase)	patZ pka yfiQ b2584 JW2568	pka yfiQ	patZ	97,987	internal peptidyl-lysine acetylation [GO:0018393]; regulation of protein homooligomerization [GO:0032462]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]	protein-containing complex [GO:0032991]	protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; peptide-lysine-N-acetyltransferase activity [GO:0061733]; peptidyl-lysine acetyltransferase activity [GO:0052858]; internal peptidyl-lysine acetylation [GO:0018393]; regulation of protein homooligomerization [GO:0032462]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; peptide-lysine-N-acetyltransferase activity [GO:0061733]; peptidyl-lysine acetyltransferase activity [GO:0052858]	GO:0005524; GO:0006979; GO:0009408; GO:0018393; GO:0032462; GO:0032991; GO:0042802; GO:0046872; GO:0052858; GO:0061733		
P60293	MUKF_ECOLI	Chromosome partition protein MukF (Protein KicB)	mukF kicB b0922 JW0905	kicB	mukF	50,579	cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]	cytoplasm [GO:0005737]; nucleoid [GO:0009295]	cytoplasm [GO:0005737]; nucleoid [GO:0009295]; calcium ion binding [GO:0005509]; cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]	calcium ion binding [GO:0005509]	GO:0005509; GO:0005737; GO:0006260; GO:0007049; GO:0007059; GO:0009295; GO:0030261; GO:0051301	SUBCELLULAR LOCATION: Cytoplasm, nucleoid. Note=Restricted to the nucleoid region.	
P75798	GSIC_ECOLI	Glutathione transport system permease protein GsiC	gsiC yliC b0831 JW0815	yliC	gsiC	34,066	glutathione transmembrane transport [GO:0034775]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; glutathione transmembrane transporter activity [GO:0034634]; glutathione transmembrane transport [GO:0034775]	glutathione transmembrane transporter activity [GO:0034634]	GO:0005886; GO:0005887; GO:0034634; GO:0034775	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	
P25960	LEP4_ECOLI	Prepilin leader peptidase/N-methyltransferase [Includes: Leader peptidase (EC 3.4.23.43) (Prepilin peptidase); N-methyltransferase (EC 2.1.1.-)]	gspO hofD hopD hopO yheC b3335 JW3297	hofD hopD hopO yheC	gspO	24,957	signal peptide processing [GO:0006465]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; aspartic-type endopeptidase activity [GO:0004190]; transferase activity [GO:0016740]; signal peptide processing [GO:0006465]	aspartic-type endopeptidase activity [GO:0004190]; transferase activity [GO:0016740]	GO:0004190; GO:0005886; GO:0006465; GO:0016021; GO:0016740	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000250|UniProtKB:P22610}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P22610}.	
P36771	LRHA_ECOLI	Probable HTH-type transcriptional regulator LrhA	lrhA genR b2289 JW2284	genR	lrhA	34,594	negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]		bacterial-type cis-regulatory region sequence-specific DNA binding [GO:0000986]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	bacterial-type cis-regulatory region sequence-specific DNA binding [GO:0000986]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0000986; GO:0003700; GO:0006351; GO:0006355; GO:0043565; GO:0045892; GO:0045893		
P0A725	LPXC_ECOLI	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (Protein EnvA) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	lpxC asmB envA b0096 JW0094	asmB envA	lpxC	33,956	lipid A biosynthetic process [GO:0009245]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; deacetylase activity [GO:0019213]; iron ion binding [GO:0005506]; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity [GO:0008759]; UDP-3-O-acyl-N-acetylglucosamine deacetylase activity [GO:0103117]; zinc ion binding [GO:0008270]; lipid A biosynthetic process [GO:0009245]	deacetylase activity [GO:0019213]; iron ion binding [GO:0005506]; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity [GO:0008759]; UDP-3-O-acyl-N-acetylglucosamine deacetylase activity [GO:0103117]; zinc ion binding [GO:0008270]	GO:0005506; GO:0005737; GO:0008270; GO:0008759; GO:0009245; GO:0019213; GO:0103117		
P0AFS1	LSRD_ECOLI	Autoinducer 2 import system permease protein LsrD (AI-2 import system permease protein LsrD)	lsrD ydeZ b1515 JW1508	ydeZ	lsrD	34,456		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0016021; GO:0022857	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	
P0A9S7	LIVG_ECOLI	High-affinity branched-chain amino acid transport ATP-binding protein LivG (LIV-I protein G)	livG b3455 JW3420		livG	28,427	branched-chain amino acid transport [GO:0015803]; D-alanine transport [GO:0042941]; isoleucine transmembrane transport [GO:1903714]; L-alanine transport [GO:0015808]; leucine import across plasma membrane [GO:0098713]; L-isoleucine import across plasma membrane [GO:1903806]; L-valine import across plasma membrane [GO:1903805]; L-valine transmembrane transport [GO:1903785]; phenylalanine transport [GO:0015823]	membrane [GO:0016020]; plasma membrane [GO:0005886]	membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; branched-chain amino acid transmembrane transporter activity [GO:0015658]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-leucine transmembrane transporter activity [GO:0015190]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-valine transmembrane transporter activity [GO:0005304]; branched-chain amino acid transport [GO:0015803]; D-alanine transport [GO:0042941]; isoleucine transmembrane transport [GO:1903714]; L-alanine transport [GO:0015808]; L-isoleucine import across plasma membrane [GO:1903806]; L-valine import across plasma membrane [GO:1903805]; L-valine transmembrane transport [GO:1903785]; leucine import across plasma membrane [GO:0098713]; phenylalanine transport [GO:0015823]	ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; branched-chain amino acid transmembrane transporter activity [GO:0015658]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-leucine transmembrane transporter activity [GO:0015190]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-valine transmembrane transporter activity [GO:0005304]	GO:0005304; GO:0005524; GO:0005886; GO:0015188; GO:0015190; GO:0015192; GO:0015658; GO:0015803; GO:0015808; GO:0015823; GO:0016020; GO:0042626; GO:0042941; GO:0098713; GO:1903714; GO:1903785; GO:1903805; GO:1903806		
P76142	LSRB_ECOLI	Autoinducer 2-binding protein LsrB (AI-2-binding protein LsrB)	lsrB yneA b1516 JW1509	yneA	lsrB	36,685		ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]		GO:0042597; GO:0043190	SUBCELLULAR LOCATION: Periplasm {ECO:0000305}.	
P04816	LIVK_ECOLI	Leucine-specific-binding protein (L-BP) (LS-BP)	livK b3458 JW3423		livK	39,379	leucine transport [GO:0015820]	outer membrane-bounded periplasmic space [GO:0030288]	outer membrane-bounded periplasmic space [GO:0030288]; leucine binding [GO:0070728]; leucine transport [GO:0015820]	leucine binding [GO:0070728]	GO:0015820; GO:0030288; GO:0070728	SUBCELLULAR LOCATION: Periplasm.	
P25737	LYSP_ECOLI	Lysine-specific permease	lysP cadR b2156 JW2143	cadR	lysP	53,576	amino acid transmembrane transport [GO:0003333]; L-lysine import across plasma membrane [GO:0097639]; regulation of DNA-binding transcription factor activity [GO:0051090]; response to amino acid [GO:0043200]	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; identical protein binding [GO:0042802]; L-lysine transmembrane transporter activity [GO:0015189]; transcription factor binding [GO:0008134]; amino acid transmembrane transport [GO:0003333]; L-lysine import across plasma membrane [GO:0097639]; regulation of DNA-binding transcription factor activity [GO:0051090]; response to amino acid [GO:0043200]	amino acid transmembrane transporter activity [GO:0015171]; identical protein binding [GO:0042802]; L-lysine transmembrane transporter activity [GO:0015189]; transcription factor binding [GO:0008134]	GO:0003333; GO:0005886; GO:0005887; GO:0008134; GO:0015171; GO:0015189; GO:0016021; GO:0042802; GO:0043200; GO:0051090; GO:0097639	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	
P00393	NDH_ECOLI	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)	ndh b1109 JW1095		ndh	47,359	aerobic electron transport chain [GO:0019646]; aerobic respiration [GO:0009060]; anaerobic respiration [GO:0009061]; copper ion homeostasis [GO:0055070]	NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]	NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; flavin adenine dinucleotide binding [GO:0050660]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; aerobic electron transport chain [GO:0019646]; aerobic respiration [GO:0009060]; anaerobic respiration [GO:0009061]; copper ion homeostasis [GO:0055070]	flavin adenine dinucleotide binding [GO:0050660]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005886; GO:0008137; GO:0009060; GO:0009061; GO:0019646; GO:0030964; GO:0050660; GO:0055070	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:2679883, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:6784762, ECO:0000269|PubMed:7009604, ECO:0000269|PubMed:7020757}; Peripheral membrane protein {ECO:0000269|PubMed:10664466, ECO:0000305|PubMed:12176061}; Cytoplasmic side {ECO:0000305|PubMed:12176061}. Note=Membrane-bound (PubMed:10664466). Interaction with the membrane is probably mediated by amphipathic helices and electrostatic interactions (PubMed:15581635). Copurifies with phospholipids (PubMed:7020757, PubMed:6362717). {ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:15581635, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:7020757}.	
P07018	MCP4_ECOLI	Methyl-accepting chemotaxis protein IV (MCP-IV) (Dipeptide chemoreceptor protein)	tap b1885 JW1874		tap	57,512	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005886; GO:0005887; GO:0006935; GO:0007165	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:22380631}; Multi-pass membrane protein {ECO:0000269|PubMed:22380631}. Note=Found predominantly at cell poles.	
P31121	MARB_ECOLI	Multiple antibiotic resistance protein MarB	marB b1532 JW1525		marB	7,537	response to antibiotic [GO:0046677]	outer membrane-bounded periplasmic space [GO:0030288]	outer membrane-bounded periplasmic space [GO:0030288]; response to antibiotic [GO:0046677]		GO:0030288; GO:0046677		
P0AEY1	MARC_ECOLI	UPF0056 inner membrane protein MarC	marC ydeB ydeC b1529 JW1522	ydeB ydeC	marC	23,617		integral component of plasma membrane [GO:0005887]	integral component of plasma membrane [GO:0005887]		GO:0005887	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	
P0AF12	MTNN_ECOLI	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-deoxyadenosine nucleosidase) (DOA nucleosidase) (dAdo nucleosidase) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	mtnN mtn pfs yadA b0159 JW0155	mtn pfs yadA	mtnN	24,354	L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]; purine deoxyribonucleoside catabolic process [GO:0046124]; toxic metabolite repair [GO:0110052]	cytosol [GO:0005829]	cytosol [GO:0005829]; adenosylhomocysteine nucleosidase activity [GO:0008782]; identical protein binding [GO:0042802]; methylthioadenosine nucleosidase activity [GO:0008930]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]; purine deoxyribonucleoside catabolic process [GO:0046124]; toxic metabolite repair [GO:0110052]	adenosylhomocysteine nucleosidase activity [GO:0008782]; identical protein binding [GO:0042802]; methylthioadenosine nucleosidase activity [GO:0008930]	GO:0005829; GO:0008782; GO:0008930; GO:0019284; GO:0019509; GO:0042802; GO:0046124; GO:0110052		
P0A8D0	NRDR_ECOLI	Transcriptional repressor NrdR	nrdR ybaD b0413 JW0403	ybaD	nrdR	17,229	negative regulation of transcription, DNA-templated [GO:0045892]		ATP binding [GO:0005524]; double-stranded DNA binding [GO:0003690]; zinc ion binding [GO:0008270]; negative regulation of transcription, DNA-templated [GO:0045892]	ATP binding [GO:0005524]; double-stranded DNA binding [GO:0003690]; zinc ion binding [GO:0008270]	GO:0003690; GO:0005524; GO:0008270; GO:0045892		
